original_title,recommend_movie
Jurassic World,"
Recommended Movies: 
Safety Not Guaranteed | Genres: 'Comedy','Drama','Romance','ScienceFiction' | Rating: 6.8
G.I. Joe: Retaliation | Genres: 'Action','Adventure','ScienceFiction','Thriller' | Rating: 5.4
A Sound of Thunder | Genres: 'Action','Adventure','ScienceFiction','Thriller' | Rating: 4.8
Mad Max: Fury Road | Genres: 'Action','Adventure','ScienceFiction','Thriller' | Rating: 7.2
X-Men: The Last Stand | Genres: 'Action','Adventure','ScienceFiction','Thriller' | Rating: 6.3
X2 | Genres: 'Action','Adventure','ScienceFiction','Thriller' | Rating: 6.8
Impostor | Genres: 'Action','ScienceFiction','Thriller' | Rating: 6.1
I Am Number Four | Genres: 'Action','Adventure','ScienceFiction','Thriller' | Rating: 5.9
Battleship | Genres: 'Action','Adventure','ScienceFiction','Thriller' | Rating: 5.5
Street Fighter: The Legend of Chun-Li | Genres: 'Action','Adventure','ScienceFiction','Thriller' | Rating: 3.9
"
Skyfall,"
Recommended Movies: 
Spectre | Genres: 'Action','Adventure','Crime' | Rating: 6.3
Road to Perdition | Genres: 'Crime','Drama','Thriller' | Rating: 7.3
Away We Go | Genres: 'Comedy','Drama','Romance' | Rating: 6.7
Jarhead | Genres: 'Drama','War' | Rating: 6.6
American Beauty | Genres: 'Drama' | Rating: 7.9
Revolutionary Road | Genres: 'Drama','Romance' | Rating: 6.7
The Expendables 2 | Genres: 'Action','Adventure','Thriller' | Rating: 6.1
The Expendables | Genres: 'Action','Adventure','Thriller' | Rating: 6.0
Casino Royale | Genres: 'Action','Adventure','Thriller' | Rating: 7.3
Sorcerer | Genres: 'Action','Adventure','Thriller' | Rating: 7.4
"
Spider-Man 2,"
Recommended Movies: 
Spider-Man 3 | Genres: 'Action','Adventure','Fantasy' | Rating: 5.9
Spider-Man | Genres: 'Action','Fantasy' | Rating: 6.8
Oz: The Great and Powerful | Genres: 'Adventure','Family','Fantasy' | Rating: 5.7
Army of Darkness | Genres: 'Comedy','Fantasy','Horror' | Rating: 7.3
The Quick and the Dead | Genres: 'Action','Western' | Rating: 6.3
Evil Dead II | Genres: 'Comedy','Fantasy','Horror' | Rating: 7.6
A Simple Plan | Genres: 'Crime','Drama','Thriller' | Rating: 6.9
Drag Me to Hell | Genres: 'Horror','Thriller' | Rating: 6.2
The Evil Dead | Genres: 'Horror' | Rating: 7.3
For Love of the Game | Genres: 'Drama','Romance' | Rating: 6.3
"
Iron Man 3,"
Recommended Movies: 
Kiss Kiss Bang Bang | Genres: 'Action','Comedy','Crime','Mystery' | Rating: 7.2
Iron Man 2 | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.6
Captain America: Civil War | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.1
Independence Day | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.7
The Lost World: Jurassic Park | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.2
Iron Man | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.4
Avengers: Age of Ultron | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.3
The Avengers | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.4
Pacific Rim | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.7
The Blood of Heroes | Genres: 'Action','Adventure','ScienceFiction' | Rating: 5.9
"
Alice in Wonderland,"
Recommended Movies: 
Charlie and the Chocolate Factory | Genres: 'Adventure','Comedy','Family','Fantasy' | Rating: 6.7
Big Fish | Genres: 'Adventure','Drama','Fantasy' | Rating: 7.6
Dark Shadows | Genres: 'Comedy','Fantasy' | Rating: 5.7
Batman Returns | Genres: 'Action','Fantasy' | Rating: 6.6
Beetlejuice | Genres: 'Comedy','Fantasy' | Rating: 7.1
Edward Scissorhands | Genres: 'Drama','Fantasy','Romance' | Rating: 7.5
Batman | Genres: 'Action','Fantasy' | Rating: 7.0
Mars Attacks! | Genres: 'Comedy','Fantasy','ScienceFiction' | Rating: 6.1
Planet of the Apes | Genres: 'Action','Adventure','ScienceFiction','Thriller' | Rating: 5.6
Frankenweenie | Genres: 'Animation','Comedy','Family' | Rating: 6.6
"
X-Men: The Last Stand,"
Recommended Movies: 
Hercules | Genres: 'Action','Adventure' | Rating: 5.6
Money Talks | Genres: 'Action','Adventure','Comedy' | Rating: 5.9
Rush Hour 3 | Genres: 'Action','Comedy','Crime','Thriller' | Rating: 6.1
Rush Hour 2 | Genres: 'Action','Comedy','Crime','Thriller' | Rating: 6.4
Tower Heist | Genres: 'Action','Comedy' | Rating: 5.8
After the Sunset | Genres: 'Action','Comedy','Crime','Drama' | Rating: 6.0
Red Dragon | Genres: 'Crime','Horror','Thriller' | Rating: 6.7
The Family Man | Genres: 'Comedy','Drama','Fantasy','Romance' | Rating: 6.5
X2 | Genres: 'Action','Adventure','ScienceFiction','Thriller' | Rating: 6.8
X-Men | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.8
"
Monsters University,"
Recommended Movies: 
Home on the Range | Genres: 'Animation','Family' | Rating: 5.7
Madagascar 3: Europe's Most Wanted | Genres: 'Animation','Family' | Rating: 6.4
The Angry Birds Movie | Genres: 'Animation','Family' | Rating: 5.9
Madagascar: Escape 2 Africa | Genres: 'Animation','Family' | Rating: 6.2
Madagascar | Genres: 'Animation','Family' | Rating: 6.6
The Secret Life of Pets | Genres: 'Animation','Family' | Rating: 5.9
Белка и Стрелка. Звёздные собаки | Genres: 'Animation','Family' | Rating: 6.3
Kung Fu Panda 2 | Genres: 'Animation','Family' | Rating: 6.7
Turbo | Genres: 'Animation','Family' | Rating: 6.1
Pooh's Heffalump Movie | Genres: 'Animation','Family' | Rating: 6.4
"
Transformers: Revenge of the Fallen,"
Recommended Movies: 
Transformers | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.6
Transformers: Dark of the Moon | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.1
Transformers: Age of Extinction | Genres: 'Action','Adventure','ScienceFiction' | Rating: 5.8
The Island | Genres: 'Action','Adventure','ScienceFiction','Thriller' | Rating: 6.5
Armageddon | Genres: 'Action','Adventure','ScienceFiction','Thriller' | Rating: 6.4
The Rock | Genres: 'Action','Adventure','Thriller' | Rating: 6.9
Bad Boys II | Genres: 'Action','Adventure','Comedy','Crime','Thriller' | Rating: 6.3
Pain & Gain | Genres: 'Action','Crime','Thriller' | Rating: 6.1
13 Hours: The Secret Soldiers of Benghazi | Genres: 'Action','Drama','History','Thriller','War' | Rating: 7.0
Bad Boys | Genres: 'Action','Comedy','Crime','Thriller' | Rating: 6.5
"
Transformers: Age of Extinction,"
Recommended Movies: 
Transformers: Dark of the Moon | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.1
Transformers | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.6
Transformers: Revenge of the Fallen | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.0
Armageddon | Genres: 'Action','Adventure','ScienceFiction','Thriller' | Rating: 6.4
The Island | Genres: 'Action','Adventure','ScienceFiction','Thriller' | Rating: 6.5
The Rock | Genres: 'Action','Adventure','Thriller' | Rating: 6.9
Bad Boys II | Genres: 'Action','Adventure','Comedy','Crime','Thriller' | Rating: 6.3
Pain & Gain | Genres: 'Action','Crime','Thriller' | Rating: 6.1
Bad Boys | Genres: 'Action','Comedy','Crime','Thriller' | Rating: 6.5
13 Hours: The Secret Soldiers of Benghazi | Genres: 'Action','Drama','History','Thriller','War' | Rating: 7.0
"
Oz: The Great and Powerful,"
Recommended Movies: 
Spider-Man 3 | Genres: 'Action','Adventure','Fantasy' | Rating: 5.9
Spider-Man 2 | Genres: 'Action','Adventure','Fantasy' | Rating: 6.7
Spider-Man | Genres: 'Action','Fantasy' | Rating: 6.8
Army of Darkness | Genres: 'Comedy','Fantasy','Horror' | Rating: 7.3
Evil Dead II | Genres: 'Comedy','Fantasy','Horror' | Rating: 7.6
For Love of the Game | Genres: 'Drama','Romance' | Rating: 6.3
Drag Me to Hell | Genres: 'Horror','Thriller' | Rating: 6.2
The Evil Dead | Genres: 'Horror' | Rating: 7.3
The Quick and the Dead | Genres: 'Action','Western' | Rating: 6.3
A Simple Plan | Genres: 'Crime','Drama','Thriller' | Rating: 6.9
"
The Amazing Spider-Man 2,"
Recommended Movies: 
The Amazing Spider-Man | Genres: 'Action','Adventure','Fantasy' | Rating: 6.5
(500) Days of Summer | Genres: 'Comedy','Drama','Romance' | Rating: 7.2
Spider-Man 2 | Genres: 'Action','Adventure','Fantasy' | Rating: 6.7
Batman v Superman: Dawn of Justice | Genres: 'Action','Adventure','Fantasy' | Rating: 5.7
Conan the Destroyer | Genres: 'Action','Adventure','Fantasy' | Rating: 5.8
The Mummy: Tomb of the Dragon Emperor | Genres: 'Action','Adventure','Fantasy' | Rating: 5.2
Conan the Barbarian | Genres: 'Action','Adventure','Fantasy' | Rating: 6.6
The Hobbit: The Battle of the Five Armies | Genres: 'Action','Adventure','Fantasy' | Rating: 7.1
Pirates of the Caribbean: The Curse of the Black Pearl | Genres: 'Action','Adventure','Fantasy' | Rating: 7.5
Clash of the Titans | Genres: 'Action','Adventure','Fantasy' | Rating: 5.6
"
TRON: Legacy,"
Recommended Movies: 
Oblivion | Genres: 'Action','Adventure','Mystery','ScienceFiction' | Rating: 6.4
The Hunger Games: Mockingjay - Part 2 | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.6
The Hunger Games: Catching Fire | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.4
Timeline | Genres: 'Action','Adventure','ScienceFiction' | Rating: 5.4
Ender's Game | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.6
Journey 2: The Mysterious Island | Genres: 'Action','Adventure','ScienceFiction' | Rating: 5.8
Independence Day: Resurgence | Genres: 'Action','Adventure','ScienceFiction' | Rating: 4.9
Independence Day | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.7
The Lost World: Jurassic Park | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.2
Steel | Genres: 'Action','Adventure','ScienceFiction' | Rating: 4.3
"
Cars 2,"
Recommended Movies: 
Cars | Genres: 'Adventure','Animation','Comedy','Family' | Rating: 6.6
Alvin and the Chipmunks: The Road Chip | Genres: 'Adventure','Animation','Comedy','Family' | Rating: 5.8
Fantastic Mr. Fox | Genres: 'Adventure','Animation','Comedy','Family' | Rating: 7.5
Bolt | Genres: 'Adventure','Animation','Comedy','Family' | Rating: 6.3
Rio | Genres: 'Adventure','Animation','Comedy','Family' | Rating: 6.5
TMNT | Genres: 'Adventure','Animation','Comedy','Family' | Rating: 6.0
Rio 2 | Genres: 'Adventure','Animation','Comedy','Family' | Rating: 6.3
The Lion of Judah | Genres: 'Adventure','Animation','Comedy','Family' | Rating: 5.8
Curious George | Genres: 'Adventure','Animation','Comedy','Family' | Rating: 6.2
Penguins of Madagascar | Genres: 'Adventure','Animation','Comedy','Family' | Rating: 6.5
"
Green Lantern,"
Recommended Movies: 
Vertical Limit | Genres: 'Action','Adventure','Thriller' | Rating: 5.9
GoldenEye | Genres: 'Action','Adventure','Thriller' | Rating: 6.6
Casino Royale | Genres: 'Action','Adventure','Thriller' | Rating: 7.3
The Mask of Zorro | Genres: 'Action','Adventure' | Rating: 6.3
The Legend of Zorro | Genres: 'Action','Adventure' | Rating: 5.9
Beyond Borders | Genres: 'Adventure','Drama','Romance','War' | Rating: 6.7
Edge of Darkness | Genres: 'Crime','Drama','Mystery','Thriller' | Rating: 6.2
Battleship | Genres: 'Action','Adventure','ScienceFiction','Thriller' | Rating: 5.5
X-Men Origins: Wolverine | Genres: 'Action','Adventure','ScienceFiction','Thriller' | Rating: 6.2
Armageddon | Genres: 'Action','Adventure','ScienceFiction','Thriller' | Rating: 6.4
"
Toy Story 3,"
Recommended Movies: 
Toy Story 2 | Genres: 'Animation','Comedy','Family' | Rating: 7.3
Hop | Genres: 'Animation','Comedy','Family' | Rating: 5.5
Hoodwinked Too! Hood VS. Evil | Genres: 'Animation','Comedy','Family' | Rating: 4.8
Hoodwinked! | Genres: 'Animation','Comedy','Family' | Rating: 5.9
Cloudy with a Chance of Meatballs 2 | Genres: 'Animation','Comedy','Family' | Rating: 6.4
Toy Story | Genres: 'Animation','Comedy','Family' | Rating: 7.7
Monsters, Inc. | Genres: 'Animation','Comedy','Family' | Rating: 7.5
Meet the Deedles | Genres: 'Animation','Comedy','Family' | Rating: 4.1
Cats Don't Dance | Genres: 'Animation','Comedy','Family','Music' | Rating: 7.1
Cloudy with a Chance of Meatballs | Genres: 'Animation','Comedy','Family' | Rating: 6.5
"
Terminator Salvation,"
Recommended Movies: 
3 Days to Kill | Genres: 'Action','Crime','Drama','Thriller' | Rating: 6.0
Charlie's Angels | Genres: 'Action','Adventure','Comedy','Crime','Thriller' | Rating: 5.6
This Means War | Genres: 'Action','Comedy','Romance' | Rating: 5.9
Charlie's Angels: Full Throttle | Genres: 'Action','Adventure','Comedy' | Rating: 5.2
We Are Marshall | Genres: 'Drama' | Rating: 6.7
Ultraviolet | Genres: 'Action','ScienceFiction','Thriller' | Rating: 4.8
Equilibrium | Genres: 'Action','ScienceFiction','Thriller' | Rating: 6.9
Doomsday | Genres: 'Action','ScienceFiction','Thriller' | Rating: 5.8
The Terminator | Genres: 'Action','ScienceFiction','Thriller' | Rating: 7.3
Surrogates | Genres: 'Action','ScienceFiction','Thriller' | Rating: 5.9
"
Furious 7,"
Recommended Movies: 
Death Sentence | Genres: 'Action','Crime','Drama','Thriller' | Rating: 6.5
The Conjuring 2 | Genres: 'Horror' | Rating: 7.0
The Conjuring | Genres: 'Horror','Thriller' | Rating: 7.4
Saw | Genres: 'Crime','Horror','Mystery' | Rating: 7.2
Insidious: Chapter 2 | Genres: 'Horror','Thriller' | Rating: 6.5
Insidious | Genres: 'Horror','Thriller' | Rating: 6.8
State of Play | Genres: 'Action' | Rating: 6.7
The Man with the Iron Fists | Genres: 'Action' | Rating: 5.2
Pound of Flesh | Genres: 'Action' | Rating: 5.5
Max Payne | Genres: 'Action' | Rating: 5.2
"
World War Z,"
Recommended Movies: 
Everything Put Together | Genres: 'Drama' | Rating: 5.0
Machine Gun Preacher | Genres: 'Action','Crime','Thriller' | Rating: 6.4
The Kite Runner | Genres: 'Drama' | Rating: 7.3
Quantum of Solace | Genres: 'Action','Adventure','Crime','Thriller' | Rating: 6.1
Monster's Ball | Genres: 'Drama','Romance' | Rating: 6.5
Finding Neverland | Genres: 'Drama' | Rating: 7.2
Stranger Than Fiction | Genres: 'Comedy','Drama','Fantasy','Romance' | Rating: 7.1
I Am Legend | Genres: 'Action','Drama','Horror','ScienceFiction','Thriller' | Rating: 6.9
Phantasm II | Genres: 'Action','Horror','ScienceFiction','Thriller' | Rating: 6.3
Elysium | Genres: 'Action','Drama','ScienceFiction','Thriller' | Rating: 6.4
"
X-Men: Days of Future Past,"
Recommended Movies: 
Superman Returns | Genres: 'Action','Adventure','Fantasy','ScienceFiction' | Rating: 5.4
X-Men | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.8
X2 | Genres: 'Action','Adventure','ScienceFiction','Thriller' | Rating: 6.8
X-Men: Apocalypse | Genres: 'ScienceFiction' | Rating: 6.4
Jack the Giant Slayer | Genres: 'Action','Family','Fantasy' | Rating: 5.5
Valkyrie | Genres: 'Drama','History','Thriller','War' | Rating: 6.7
The Usual Suspects | Genres: 'Crime','Drama','Thriller' | Rating: 8.1
The Wolverine | Genres: 'Action','Adventure','Fantasy','ScienceFiction' | Rating: 6.3
X-Men: First Class | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.1
Man of Steel | Genres: 'Action','Adventure','Fantasy','ScienceFiction' | Rating: 6.5
"
Star Trek Into Darkness,"
Recommended Movies: 
Star Trek | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.4
Mission: Impossible III | Genres: 'Action','Adventure','Thriller' | Rating: 6.5
Super 8 | Genres: 'Mystery','ScienceFiction','Thriller' | Rating: 6.6
Star Trek Beyond | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.6
Guardians of the Galaxy | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.9
Ant-Man | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.0
Iron Man 2 | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.6
Megaforce | Genres: 'Action','Adventure','ScienceFiction' | Rating: 3.5
Transformers: Age of Extinction | Genres: 'Action','Adventure','ScienceFiction' | Rating: 5.8
Iron Man 3 | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.8
"
Jack the Giant Slayer,"
Recommended Movies: 
Superman Returns | Genres: 'Action','Adventure','Fantasy','ScienceFiction' | Rating: 5.4
X-Men: Days of Future Past | Genres: 'Action','Adventure','Fantasy','ScienceFiction' | Rating: 7.5
X-Men | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.8
X2 | Genres: 'Action','Adventure','ScienceFiction','Thriller' | Rating: 6.8
Valkyrie | Genres: 'Drama','History','Thriller','War' | Rating: 6.7
X-Men: Apocalypse | Genres: 'ScienceFiction' | Rating: 6.4
The Usual Suspects | Genres: 'Crime','Drama','Thriller' | Rating: 8.1
The Nutcracker: The Untold Story | Genres: 'Action','Family','Fantasy' | Rating: 5.4
Warriors of Virtue | Genres: 'Action','Family','Fantasy' | Rating: 4.7
Batman | Genres: 'Action','Fantasy' | Rating: 7.0
"
The Great Gatsby,"
Recommended Movies: 
Romeo + Juliet | Genres: 'Drama','Romance' | Rating: 6.7
Moulin Rouge! | Genres: 'Drama','Music','Romance' | Rating: 7.4
Australia | Genres: 'Drama' | Rating: 6.3
Me You and Five Bucks | Genres: 'Comedy','Drama','Romance' | Rating: 10.0
What's Eating Gilbert Grape | Genres: 'Drama','Romance' | Rating: 7.5
The Majestic | Genres: 'Drama','Romance' | Rating: 6.6
Notes on a Scandal | Genres: 'Drama','Romance' | Rating: 6.9
Against the Ropes | Genres: 'Drama','Romance' | Rating: 4.5
The Shipping News | Genres: 'Drama','Romance' | Rating: 6.4
The Best of Me | Genres: 'Drama','Romance' | Rating: 7.2
"
Prince of Persia: The Sands of Time,"
Recommended Movies: 
Harry Potter and the Goblet of Fire | Genres: 'Adventure','Family','Fantasy' | Rating: 7.5
Mona Lisa Smile | Genres: 'Drama','Romance' | Rating: 6.5
Love in the Time of Cholera | Genres: 'Drama','Romance' | Rating: 6.4
Four Weddings and a Funeral | Genres: 'Comedy','Drama','Romance' | Rating: 6.6
Pushing Tin | Genres: 'Comedy','Drama' | Rating: 5.7
Donnie Brasco | Genres: 'Crime','Drama','Thriller' | Rating: 7.4
Pirates of the Caribbean: The Curse of the Black Pearl | Genres: 'Action','Adventure','Fantasy' | Rating: 7.5
Pirates of the Caribbean: At World's End | Genres: 'Action','Adventure','Fantasy' | Rating: 6.9
Pirates of the Caribbean: Dead Man's Chest | Genres: 'Action','Adventure','Fantasy' | Rating: 7.0
Batman v Superman: Dawn of Justice | Genres: 'Action','Adventure','Fantasy' | Rating: 5.7
"
Pacific Rim,"
Recommended Movies: 
Hellboy II: The Golden Army | Genres: 'Adventure','Fantasy','ScienceFiction' | Rating: 6.5
Hellboy | Genres: 'Action','Fantasy','ScienceFiction' | Rating: 6.5
Blade II | Genres: 'Action','Fantasy','Horror','Thriller' | Rating: 6.2
El laberinto del fauno | Genres: 'Drama','Fantasy','War' | Rating: 7.6
Star Wars: Episode III - Revenge of the Sith | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.1
Star Wars: Episode II - Attack of the Clones | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.4
Avengers: Age of Ultron | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.3
The Avengers | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.4
Ant-Man | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.0
Return of the Jedi | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.9
"
Transformers: Dark of the Moon,"
Recommended Movies: 
Transformers | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.6
Transformers: Revenge of the Fallen | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.0
Transformers: Age of Extinction | Genres: 'Action','Adventure','ScienceFiction' | Rating: 5.8
The Island | Genres: 'Action','Adventure','ScienceFiction','Thriller' | Rating: 6.5
Armageddon | Genres: 'Action','Adventure','ScienceFiction','Thriller' | Rating: 6.4
The Rock | Genres: 'Action','Adventure','Thriller' | Rating: 6.9
Bad Boys II | Genres: 'Action','Adventure','Comedy','Crime','Thriller' | Rating: 6.3
13 Hours: The Secret Soldiers of Benghazi | Genres: 'Action','Drama','History','Thriller','War' | Rating: 7.0
Pain & Gain | Genres: 'Action','Crime','Thriller' | Rating: 6.1
Bad Boys | Genres: 'Action','Comedy','Crime','Thriller' | Rating: 6.5
"
Indiana Jones and the Kingdom of the Crystal Skull,"
Recommended Movies: 
Indiana Jones and the Last Crusade | Genres: 'Action','Adventure' | Rating: 7.6
Raiders of the Lost Ark | Genres: 'Action','Adventure' | Rating: 7.7
Indiana Jones and the Temple of Doom | Genres: 'Action','Adventure' | Rating: 7.1
The Lost World: Jurassic Park | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.2
1941 | Genres: 'Action','Comedy' | Rating: 5.6
Jurassic Park | Genres: 'Adventure','ScienceFiction' | Rating: 7.6
Jaws | Genres: 'Adventure','Horror','Thriller' | Rating: 7.5
A.I. Artificial Intelligence | Genres: 'Adventure','Drama','ScienceFiction' | Rating: 6.8
The BFG | Genres: 'Adventure','Family','Fantasy' | Rating: 6.0
The Adventures of Tintin | Genres: 'Adventure','Animation','Mystery' | Rating: 6.7
"
The Good Dinosaur,"
Recommended Movies: 
Mars Needs Moms | Genres: 'Adventure','Animation','Family' | Rating: 5.5
The Jungle Book 2 | Genres: 'Adventure','Animation','Family' | Rating: 5.6
The Tale of Despereaux | Genres: 'Adventure','Animation','Family' | Rating: 5.8
The Land Before Time | Genres: 'Adventure','Animation','Family' | Rating: 7.0
Valiant | Genres: 'Adventure','Animation','Family' | Rating: 5.2
Sinbad: Legend of the Seven Seas | Genres: 'Adventure','Animation','Family' | Rating: 6.6
Jungle Shuffle | Genres: 'Adventure','Animation','Family' | Rating: 6.5
La véritable histoire du Chat Botté | Genres: 'Adventure','Animation','Family' | Rating: 3.8
Frozen | Genres: 'Adventure','Animation','Family' | Rating: 7.3
Bee Movie | Genres: 'Adventure','Animation','Comedy','Family' | Rating: 5.7
"
Brave,"
Recommended Movies: 
How to Train Your Dragon 2 | Genres: 'Action','Adventure','Animation','Comedy','Family','Fantasy' | Rating: 7.6
Shrek Forever After | Genres: 'Adventure','Animation','Comedy','Family','Fantasy' | Rating: 6.0
Monkeybone | Genres: 'Action','Adventure','Animation','Comedy','Fantasy' | Rating: 4.3
Shrek the Third | Genres: 'Adventure','Animation','Comedy','Family','Fantasy' | Rating: 6.0
Shrek 2 | Genres: 'Adventure','Animation','Comedy','Family','Fantasy' | Rating: 6.7
The Croods | Genres: 'Adventure','Animation','Comedy','Family','Fantasy' | Rating: 6.8
Shrek | Genres: 'Adventure','Animation','Comedy','Family','Fantasy' | Rating: 7.3
Bolt | Genres: 'Adventure','Animation','Comedy','Family' | Rating: 6.3
Night at the Museum | Genres: 'Action','Adventure','Comedy','Family','Fantasy' | Rating: 6.3
兔侠传奇 | Genres: 'Action','Adventure','Animation','Comedy','Family' | Rating: 3.0
"
Star Trek Beyond,"
Recommended Movies: 
The Fast and the Furious: Tokyo Drift | Genres: 'Action','Crime','Drama','Thriller' | Rating: 6.1
Fast Five | Genres: 'Action','Crime','Thriller' | Rating: 7.1
Better Luck Tomorrow | Genres: 'Crime','Drama' | Rating: 6.5
Finishing The Game | Genres: 'Comedy' | Rating: 4.9
Star Trek Into Darkness | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.4
Transformers: Age of Extinction | Genres: 'Action','Adventure','ScienceFiction' | Rating: 5.8
Star Trek | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.4
Megaforce | Genres: 'Action','Adventure','ScienceFiction' | Rating: 3.5
Ant-Man | Genres: 'Action','Adventure','ScienceFiction' | Rating: 7.0
John Carter | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.1
"
WALL·E,"
Recommended Movies: 
Finding Nemo | Genres: 'Animation','Family' | Rating: 7.6
John Carter | Genres: 'Action','Adventure','ScienceFiction' | Rating: 6.1
The Tigger Movie | Genres: 'Animation','Family' | Rating: 6.3
Barney's Great Adventure | Genres: 'Family' | Rating: 2.9
Kung Fu Panda 2 | Genres: 'Animation','Family' | Rating: 6.7
Pooh's Heffalump Movie | Genres: 'Animation','Family' | Rating: 6.4
Coraline | Genres: 'Animation','Family' | Rating: 7.3
Monsters University | Genres: 'Animation','Family' | Rating: 7.0
Home on the Range | Genres: 'Animation','Family' | Rating: 5.7
Despicable Me | Genres: 'Animation','Family' | Rating: 7.1
"
